news,sentiment
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"Production was halted due to ongoing labor disputes, causing delays and financial losses. This situation raises concerns about the company's future.",negative
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales . This indicates strong growth potential for the company.",positive
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs . This indicates strong growth potential for the company.,positive
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales . This indicates strong growth potential for the company.",positive
"Production was halted due to ongoing labor disputes, causing delays and financial losses. This situation raises concerns about the company's future.",negative
Layoffs were announced as the company struggles to maintain profitability in a competitive market. This situation raises concerns about the company's future.,negative
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
"Production was halted due to ongoing labor disputes, causing delays and financial losses. This situation raises concerns about the company's future.",negative
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales . This indicates strong growth potential for the company.",positive
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"The company reported a significant decline in sales for the year, citing economic challenges and reduced demand. This situation raises concerns about the company's future.",negative
"The company reported a significant decline in sales for the year, citing economic challenges and reduced demand. This situation raises concerns about the company's future.",negative
"The company reported a significant decline in sales for the year, citing economic challenges and reduced demand. This situation raises concerns about the company's future.",negative
"Production was halted due to ongoing labor disputes, causing delays and financial losses. This situation raises concerns about the company's future.",negative
"An internal investigation revealed issues with financial reporting, causing stock prices to plummet. This situation raises concerns about the company's future.",negative
Layoffs were announced as the company struggles to maintain profitability in a competitive market. This situation raises concerns about the company's future.,negative
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . This indicates strong growth potential for the company.,positive
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
"An internal investigation revealed issues with financial reporting, causing stock prices to plummet. This situation raises concerns about the company's future.",negative
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . This indicates strong growth potential for the company.,positive
"An internal investigation revealed issues with financial reporting, causing stock prices to plummet. This situation raises concerns about the company's future.",negative
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn . This indicates strong growth potential for the company.",positive
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
"An internal investigation revealed issues with financial reporting, causing stock prices to plummet. This situation raises concerns about the company's future.",negative
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability . This indicates strong growth potential for the company.,positive
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
Layoffs were announced as the company struggles to maintain profitability in a competitive market. This situation raises concerns about the company's future.,negative
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales . This indicates strong growth potential for the company.",positive
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs . This indicates strong growth potential for the company.,positive
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs . This indicates strong growth potential for the company.,positive
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales . This indicates strong growth potential for the company.",positive
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales . This indicates strong growth potential for the company.",positive
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales . This indicates strong growth potential for the company.",positive
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . This indicates strong growth potential for the company.,positive
"The company reported a significant decline in sales for the year, citing economic challenges and reduced demand. This situation raises concerns about the company's future.",negative
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability . This indicates strong growth potential for the company.,positive
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability . This indicates strong growth potential for the company.,positive
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs . This indicates strong growth potential for the company.,positive
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales . This indicates strong growth potential for the company.",positive
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability . This indicates strong growth potential for the company.,positive
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . This indicates strong growth potential for the company.,positive
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
"Production was halted due to ongoing labor disputes, causing delays and financial losses. This situation raises concerns about the company's future.",negative
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales . This indicates strong growth potential for the company.",positive
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales . This indicates strong growth potential for the company.",positive
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales . This indicates strong growth potential for the company.",positive
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
Layoffs were announced as the company struggles to maintain profitability in a competitive market. This situation raises concerns about the company's future.,negative
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability . This indicates strong growth potential for the company.,positive
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
Layoffs were announced as the company struggles to maintain profitability in a competitive market. This situation raises concerns about the company's future.,negative
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . This indicates strong growth potential for the company.,positive
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability . This indicates strong growth potential for the company.,positive
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
"An internal investigation revealed issues with financial reporting, causing stock prices to plummet. This situation raises concerns about the company's future.",negative
Layoffs were announced as the company struggles to maintain profitability in a competitive market. This situation raises concerns about the company's future.,negative
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
Layoffs were announced as the company struggles to maintain profitability in a competitive market. This situation raises concerns about the company's future.,negative
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"An internal investigation revealed issues with financial reporting, causing stock prices to plummet. This situation raises concerns about the company's future.",negative
Layoffs were announced as the company struggles to maintain profitability in a competitive market. This situation raises concerns about the company's future.,negative
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . This indicates strong growth potential for the company.,positive
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales . This indicates strong growth potential for the company.",positive
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn . This indicates strong growth potential for the company.",positive
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"The company reported a significant decline in sales for the year, citing economic challenges and reduced demand. This situation raises concerns about the company's future.",negative
"Production was halted due to ongoing labor disputes, causing delays and financial losses. This situation raises concerns about the company's future.",negative
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
"The company reported a significant decline in sales for the year, citing economic challenges and reduced demand. This situation raises concerns about the company's future.",negative
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales . This indicates strong growth potential for the company.",positive
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . This indicates strong growth potential for the company.,positive
"Production was halted due to ongoing labor disputes, causing delays and financial losses. This situation raises concerns about the company's future.",negative
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . This indicates strong growth potential for the company.,positive
Layoffs were announced as the company struggles to maintain profitability in a competitive market. This situation raises concerns about the company's future.,negative
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . This indicates strong growth potential for the company.,positive
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs . This indicates strong growth potential for the company.,positive
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs . This indicates strong growth potential for the company.,positive
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
"Production was halted due to ongoing labor disputes, causing delays and financial losses. This situation raises concerns about the company's future.",negative
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales . This indicates strong growth potential for the company.",positive
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
"The company reported a significant decline in sales for the year, citing economic challenges and reduced demand. This situation raises concerns about the company's future.",negative
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales . This indicates strong growth potential for the company.",positive
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . This indicates strong growth potential for the company.,positive
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales . This indicates strong growth potential for the company.",positive
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs . This indicates strong growth potential for the company.,positive
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs . This indicates strong growth potential for the company.,positive
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn . This indicates strong growth potential for the company.",positive
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
Layoffs were announced as the company struggles to maintain profitability in a competitive market. This situation raises concerns about the company's future.,negative
"Production was halted due to ongoing labor disputes, causing delays and financial losses. This situation raises concerns about the company's future.",negative
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales . This indicates strong growth potential for the company.",positive
"Production was halted due to ongoing labor disputes, causing delays and financial losses. This situation raises concerns about the company's future.",negative
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn . This indicates strong growth potential for the company.",positive
"An internal investigation revealed issues with financial reporting, causing stock prices to plummet. This situation raises concerns about the company's future.",negative
"An internal investigation revealed issues with financial reporting, causing stock prices to plummet. This situation raises concerns about the company's future.",negative
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported . However, no major changes in operations are expected.",neutral
"An internal investigation revealed issues with financial reporting, causing stock prices to plummet. This situation raises concerns about the company's future.",negative
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales . This indicates strong growth potential for the company.",positive
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
Layoffs were announced as the company struggles to maintain profitability in a competitive market. This situation raises concerns about the company's future.,negative
"An internal investigation revealed issues with financial reporting, causing stock prices to plummet. This situation raises concerns about the company's future.",negative
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales . This indicates strong growth potential for the company.,positive
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales . This indicates strong growth potential for the company.",positive
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales . This indicates strong growth potential for the company.",positive
"An internal investigation revealed issues with financial reporting, causing stock prices to plummet. This situation raises concerns about the company's future.",negative
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs . This indicates strong growth potential for the company.,positive
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales . This indicates strong growth potential for the company.",positive
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
"The company reported a significant decline in sales for the year, citing economic challenges and reduced demand. This situation raises concerns about the company's future.",negative
"The company reported a significant decline in sales for the year, citing economic challenges and reduced demand. This situation raises concerns about the company's future.",negative
"The company's latest product launch failed to meet expectations, leading to a drop in market share. This situation raises concerns about the company's future.",negative
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing . However, no major changes in operations are expected.",neutral
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said . However, no major changes in operations are expected.",neutral
"The company reported a significant decline in sales for the year, citing economic challenges and reduced demand. This situation raises concerns about the company's future.",negative
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m . This indicates strong growth potential for the company.",positive
